date,sessions,unique_visitors,page_views,Revenue,COGS,Revenue_per_session
2013-01-01,9760,7253,39093,5304546.99,4156070.2,543.4986670081968
2013-01-02,10456,8151,47611,1606940.44,1237497.84,153.68596403978577
2013-01-03,10076,7458,36963,2281680.01,1832133.02,226.44700377133782
2013-01-04,9973,8063,53078,2376895.46,1940747.07,238.33304522209966
2013-01-05,10223,7882,36790,2509462.77,1977027.71,245.4722459160716
2013-01-06,9545,6992,47160,2603356.52,2060481.76,272.7455756940807
2013-01-07,10203,7354,32749,3048100.39,2452517.39,298.74550524355584
2013-01-08,9456,7459,31482,2449700.42,1973182.14,259.06307318104905
2013-01-09,9162,7108,46717,2049715.7,1654806.5,223.71924252346648
2013-01-10,9887,7878,38472,2794331.46,2122153.07,282.62682916961666
2013-01-11,9412,7368,46916,2343077.25,1805692.13,248.94573416914577
2013-01-12,8730,6136,33336,2814596.53,2241879.07,322.40510080183276
2013-01-13,8818,6863,35427,2919719.62,2279740.92,331.10905193921525
2013-01-14,8230,6203,35402,3077677.28,2477490.97,373.9583572296476
2013-01-15,8102,6179,39490,2536405.93,2094291.34,313.0592359911133
2013-01-16,9373,7503,37034,1849789.43,1445623.48,197.35297450122692
2013-01-17,9819,7503,48840,2173214.95,1763012.0,221.32752316936555
2013-01-18,10041,7821,35761,2099249.56,1615535.57,209.06777810975004
2013-01-19,8746,6138,33440,2477132.79,2033637.15,283.23036702492567
2013-01-20,10270,8030,35184,2522776.58,2018671.04,245.6452366114898
2013-01-21,10339,8283,40661,4100379.42,3250868.59,396.59342489602477
2013-01-22,10100,7469,39597,3538734.12,2801650.02,350.3697148514852
2013-01-23,9307,7261,39117,2836455.88,2322088.98,304.76586225421727
2013-01-24,9698,7034,36976,2522924.71,2102458.71,260.1489698906991
2013-01-25,10600,7868,42453,2823082.71,2273250.41,266.3285575471698
2013-01-26,10226,8004,42655,2312290.79,1869897.73,226.11879424995112
2013-01-27,8604,6327,44601,3818881.29,3023842.24,443.84952231520225
2013-01-28,9701,7636,51697,5008712.77,4035190.91,516.3089135140707
2013-01-29,8638,6928,42663,4833870.43,4015854.7,559.6052824727946
2013-01-30,8596,6245,30451,4296295.37,3414688.28,499.8016949744067
